Starting training for 100 epochs...
Epoch 1 [0/2007] loss=0.2360, rec=0.2360, kl=2.1029
Epoch 1 [20/2007] loss=0.1601, rec=0.1601, kl=0.2992
Epoch 1 [40/2007] loss=0.1313, rec=0.1313, kl=0.1398
Epoch 1 [60/2007] loss=0.1535, rec=0.1535, kl=0.1519
Epoch 1 [80/2007] loss=0.1204, rec=0.1204, kl=0.1706
Epoch 1 [100/2007] loss=0.1210, rec=0.1210, kl=0.1657
Epoch 1 [120/2007] loss=0.1225, rec=0.1225, kl=0.1684
Epoch 1 [140/2007] loss=0.1198, rec=0.1198, kl=0.1713
Epoch 1 [160/2007] loss=0.1042, rec=0.1042, kl=0.1756
Epoch 1 [180/2007] loss=0.1299, rec=0.1299, kl=0.1711
Epoch 1 [200/2007] loss=0.1060, rec=0.1060, kl=0.1710
Epoch 1 [220/2007] loss=0.0912, rec=0.0912, kl=0.1744
Epoch 1 [240/2007] loss=0.1096, rec=0.1096, kl=0.1758
Epoch 1 [260/2007] loss=0.1000, rec=0.1000, kl=0.1836
Epoch 1 [280/2007] loss=0.1062, rec=0.1062, kl=0.1811
Epoch 1 [300/2007] loss=0.0787, rec=0.0787, kl=0.1861
Epoch 1 [320/2007] loss=0.1071, rec=0.1071, kl=0.1924
Epoch 1 [340/2007] loss=0.0993, rec=0.0993, kl=0.1987
Epoch 1 [360/2007] loss=0.1079, rec=0.1079, kl=0.2051
Epoch 1 [380/2007] loss=0.0787, rec=0.0787, kl=0.2004
Epoch 1 [400/2007] loss=0.1231, rec=0.1231, kl=0.2042
Epoch 1 [420/2007] loss=0.1049, rec=0.1049, kl=0.2094
Epoch 1 [440/2007] loss=0.0936, rec=0.0936, kl=0.2160
Epoch 1 [460/2007] loss=0.0981, rec=0.0981, kl=0.2128
Epoch 1 [480/2007] loss=0.0922, rec=0.0922, kl=0.2137
Epoch 1 [500/2007] loss=0.0977, rec=0.0977, kl=0.2198
Epoch 1 [520/2007] loss=0.0891, rec=0.0891, kl=0.2246
Epoch 1 [540/2007] loss=0.0984, rec=0.0984, kl=0.2258
Epoch 1 [560/2007] loss=0.0994, rec=0.0994, kl=0.2279
Epoch 1 [580/2007] loss=0.1077, rec=0.1077, kl=0.2316
Epoch 1 [600/2007] loss=0.1042, rec=0.1042, kl=0.2393
Epoch 1 [620/2007] loss=0.1172, rec=0.1172, kl=0.2449
Epoch 1 [640/2007] loss=0.1225, rec=0.1225, kl=0.2483
Epoch 1 [660/2007] loss=0.0838, rec=0.0838, kl=0.2547
Epoch 1 [680/2007] loss=0.0885, rec=0.0885, kl=0.2627
Epoch 1 [700/2007] loss=0.0869, rec=0.0869, kl=0.2625
Epoch 1 [720/2007] loss=0.0802, rec=0.0802, kl=0.2671
Epoch 1 [740/2007] loss=0.0951, rec=0.0951, kl=0.2760
Epoch 1 [760/2007] loss=0.0748, rec=0.0748, kl=0.2853
Epoch 1 [780/2007] loss=0.0880, rec=0.0880, kl=0.2847
Epoch 1 [800/2007] loss=0.0875, rec=0.0875, kl=0.2939
Epoch 1 [820/2007] loss=0.0830, rec=0.0830, kl=0.2971
Epoch 1 [840/2007] loss=0.1175, rec=0.1175, kl=0.3007
Epoch 1 [860/2007] loss=0.0795, rec=0.0795, kl=0.3105
Epoch 1 [880/2007] loss=0.0880, rec=0.0880, kl=0.3203
Epoch 1 [900/2007] loss=0.0872, rec=0.0872, kl=0.3191
Epoch 1 [920/2007] loss=0.0882, rec=0.0882, kl=0.3259
Epoch 1 [940/2007] loss=0.1045, rec=0.1045, kl=0.3288
Epoch 1 [960/2007] loss=0.0722, rec=0.0722, kl=0.3321
Epoch 1 [980/2007] loss=0.0657, rec=0.0657, kl=0.3361
Epoch 1 [1000/2007] loss=0.0784, rec=0.0784, kl=0.3456
Epoch 1 [1020/2007] loss=0.0664, rec=0.0664, kl=0.3459
Epoch 1 [1040/2007] loss=0.0733, rec=0.0733, kl=0.3493
Epoch 1 [1060/2007] loss=0.0815, rec=0.0815, kl=0.3524
Epoch 1 [1080/2007] loss=0.0908, rec=0.0908, kl=0.3581
Epoch 1 [1100/2007] loss=0.0767, rec=0.0767, kl=0.3593
Epoch 1 [1120/2007] loss=0.0811, rec=0.0811, kl=0.3590
Epoch 1 [1140/2007] loss=0.0821, rec=0.0821, kl=0.3662
Epoch 1 [1160/2007] loss=0.0807, rec=0.0807, kl=0.3672
Epoch 1 [1180/2007] loss=0.0695, rec=0.0695, kl=0.3642
Epoch 1 [1200/2007] loss=0.0797, rec=0.0797, kl=0.3779
Epoch 1 [1220/2007] loss=0.0888, rec=0.0888, kl=0.3765
Epoch 1 [1240/2007] loss=0.0764, rec=0.0764, kl=0.3893
Epoch 1 [1260/2007] loss=0.0755, rec=0.0755, kl=0.3946
Epoch 1 [1280/2007] loss=0.0767, rec=0.0767, kl=0.3963
Epoch 1 [1300/2007] loss=0.0688, rec=0.0688, kl=0.3914
Epoch 1 [1320/2007] loss=0.0822, rec=0.0822, kl=0.4028
Epoch 1 [1340/2007] loss=0.0971, rec=0.0971, kl=0.3996
Epoch 1 [1360/2007] loss=0.0983, rec=0.0983, kl=0.3986
Epoch 1 [1380/2007] loss=0.0816, rec=0.0816, kl=0.3976
Epoch 1 [1400/2007] loss=0.0771, rec=0.0771, kl=0.4159
Epoch 1 [1420/2007] loss=0.0714, rec=0.0714, kl=0.4108
Epoch 1 [1440/2007] loss=0.0683, rec=0.0683, kl=0.4113
